Line No,Source,Address,Source_1,Warp Stall Sampling (All Samples),Warp Stall Sampling (Not-issued Samples),# Samples,Instructions Executed,Thread Instructions Executed,Predicated-On Thread Instructions Executed,Avg. Threads Executed,Avg. Predicated-On Threads Executed,Address Space,Access Operation,Access Size,L1 Tag Requests Global,L1 Conflicts Shared N-Way,L1 Wavefronts Shared Excessive,L1 Wavefronts Shared,L1 Wavefronts Shared Ideal,L2 Theoretical Sectors Global Excessive,L2 Theoretical Sectors Global,L2 Theoretical Sectors Global Ideal,L2 Theoretical Sectors Local,L2 Explicit Evict Policies,L2 Explicit Hit Policy Evict First,L2 Explicit Hit Policy Evict Last,L2 Explicit Hit Policy Evict Normal,L2 Explicit Hit Policy Evict Normal Demote,L2 Explicit Miss Policy Evict First,L2 Explicit Miss Policy Evict Normal,stall_barrier,stall_branch_resolving,stall_dispatch,stall_drain,stall_imc,stall_lg,stall_long_sb,stall_math,stall_membar,stall_mio,stall_misc,stall_no_inst,stall_not_selected,stall_selected,stall_short_sb,stall_sleep,stall_tex,stall_wait,stall_barrier (Not Issued),stall_branch_resolving (Not Issued),stall_dispatch (Not Issued),stall_drain (Not Issued),stall_imc (Not Issued),stall_lg (Not Issued),stall_long_sb (Not Issued),stall_math (Not Issued),stall_membar (Not Issued),stall_mio (Not Issued),stall_misc (Not Issued),stall_no_inst (Not Issued),stall_not_selected (Not Issued),stall_selected (Not Issued),stall_short_sb (Not Issued),stall_sleeping (Not Issued),stall_tex (Not Issued),stall_wait (Not Issued),Kernel_Name,VR_dispatch_id,Divergent Branches,Reason,stall_barrier_ratio,stall_branch_resolving_ratio,stall_dispatch_ratio,stall_drain_ratio,stall_imc_ratio,stall_lg_ratio,stall_long_sb_ratio,stall_math_ratio,stall_membar_ratio,stall_mio_ratio,stall_misc_ratio,stall_no_inst_ratio,stall_not_selected_ratio,stall_selected_ratio,stall_short_sb_ratio,stall_sleep_ratio,stall_tex_ratio,stall_wait_ratio
218,const int i = blockDim.x * blockIdx.x + threadIdx.x;,-,-,3964,2022,3964,9437184,301989888,301989888,288,288,-,-,-,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,1,0,0,0,0,157,0,2,0,0,120,162,934,0,0,2588,0,0,0,0,0,0,0,144,0,2,0,0,0,0,528,0,0,1348,"void triad_kernel<double>(T1 *, const T1 *, const T1 *)",190,0,stall_wait,0.0,0.0,0.0002522704339051463,0.0,0.0,0.0,0.0,0.03960645812310797,0.0,0.0005045408678102926,0.0,0.0,0.030272452068617558,0.040867810292633706,0.23562058526740667,0.0,0.0,0.6528758829465187
215,"__global__ void triad_kernel(T * a, const T * b, const T * c)",-,-,11956,6388,11956,27262976,872415232,872415232,832,832,-,-,-,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,2,0,0,0,0,1095,0,65,0,89,930,474,2537,0,0,6764,0,0,1,0,0,0,0,1018,0,58,0,78,0,0,1589,0,0,3644,"void triad_kernel<double>(T1 *, const T1 *, const T1 *)",190,0,stall_wait,0.0,0.0,0.00016728002676480428,0.0,0.0,0.0,0.0,0.09158581465373035,0.0,0.005436600869856139,0.0,0.00744396119103379,0.077785212445634,0.03964536634325862,0.21219471395115425,0.0,0.0,0.565741050518568
271,},-,-,484,408,484,60192,1867776,1867776,124,124,-,-,-,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,11,0,3,0,0,0,0,401,1,2,0,1,2,0,0,0,63,0,7,0,3,0,0,0,0,343,1,2,0,0,0,0,0,0,52,"void dot_kernel<double>(const T1 *, const T1 *, T1 *, int)",191,0,stall_membar,0.0,0.022727272727272728,0.0,0.006198347107438017,0.0,0.0,0.0,0.0,0.8285123966942148,0.002066115702479339,0.004132231404958678,0.0,0.002066115702479339,0.004132231404958678,0.0,0.0,0.0,0.13016528925619836
270,sum[blockIdx.x] = tb_sum[local_i];,-,-,83,77,83,22344,22344,22344,49,49,"Global,Shared","Load,Store",64(2),456,1,0,456,456,0,456,456,0,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,6,0,0,71,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,70,"void dot_kernel<double>(const T1 *, const T1 *, T1 *, int)",191,0,stall_wait,0.0,0.012048192771084338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.060240963855421686,0.07228915662650602,0.0,0.0,0.8554216867469879
269,if (local_i == 0),-,-,51,22,51,58824,1868232,1867776,129,128,-,-,-,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,45,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,21,"void dot_kernel<double>(const T1 *, const T1 *, T1 *, int)",191,456,stall_wait,0.0,0.0392156862745098,0.0,0.0,0.0,0.0,0.0,0.0196078431372549,0.0,0.0,0.0,0.0,0.0,0.058823529411764705,0.0,0.0,0.0,0.8823529411764706
265,tb_sum[local_i] += tb_sum[local_i+offset];,-,-,433,210,433,1133160,32658720,32658720,1711,1711,Shared(3),"Load(2),Store",64(3),0,3,0,91656,91656,0,0,0,0,,0,0,0,0,0,0,0,7,1,0,0,0,9,25,0,0,0,0,1,19,8,0,0,363,0,2,1,0,0,0,3,24,0,0,0,0,0,0,3,0,0,177,"void dot_kernel<double>(const T1 *, const T1 *, T1 *, int)",191,0,stall_wait,0.0,0.016166281755196306,0.0023094688221709007,0.0,0.0,0.0,0.020785219399538105,0.057736720554272515,0.0,0.0,0.0,0.0,0.0023094688221709007,0.04387990762124711,0.018475750577367205,0.0,0.0,0.8383371824480369
263,if (local_i < offset),-,-,3624,2662,3624,1621536,51830328,51363840,380,376,-,-,-,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,3099,0,0,0,0,0,0,28,0,10,0,0,17,22,0,0,0,448,2422,0,0,0,0,0,0,27,0,7,0,0,0,0,0,0,0,206,"void dot_kernel<double>(const T1 *, const T1 *, T1 *, int)",191,2280,stall_barrier,0.8551324503311258,0.0,0.0,0.0,0.0,0.0,0.0,0.00772626931567329,0.0,0.0027593818984547464,0.0,0.0,0.004690949227373068,0.006070640176600441,0.0,0.0,0.0,0.12362030905077263
262,__syncthreads();,-,-,40,20,40,145920,4669440,4669440,32,32,-,-,-,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,28,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,"void dot_kernel<double>(const T1 *, const T1 *, T1 *, int)",191,0,stall_wait,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.7
260,for (int offset = blockDim.x / 2; offset > 0; offset /= 2),-,-,2992,1501,2992,9470208,303046656,298377216,3328,3298,-,-,-,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,87,3,0,0,0,0,93,0,102,0,0,33,181,48,0,0,2445,0,38,0,0,0,0,0,88,0,62,0,0,0,0,24,0,0,1289,"void dot_kernel<double>(const T1 *, const T1 *, T1 *, int)",191,0,stall_wait,0.0,0.029077540106951873,0.001002673796791444,0.0,0.0,0.0,0.0,0.03108288770053476,0.0,0.03409090909090909,0.0,0.0,0.011029411764705883,0.06049465240641711,0.016042780748663103,0.0,0.0,0.8171791443850267
258,tb_sum[local_i] += a[i] * b[i];,-,-,43205,22598,43205,77594624,2483027968,2483027968,2368,2368,"Global(2),Shared(2)","Load(3),Store",64(4),4194304,4,0,4194304,4194304,0,16777216,16777216,0,,0,0,0,0,0,0,0,57,22,0,0,0,20430,2059,0,0,0,0,1579,1207,536,0,0,17315,0,30,16,0,0,0,11511,1815,0,0,0,0,0,0,293,0,0,8933,"void dot_kernel<double>(const T1 *, const T1 *, T1 *, int)",191,0,stall_long_sb,0.0,0.0013192917486402036,0.0005092003240365698,0.0,0.0,0.0,0.47286193727577824,0.04765652123596806,0.0,0.0,0.0,0.0,0.03654669598426108,0.027936581414188172,0.012405971531072792,0.0,0.0,0.40076380048605487
257,for (; i < array_size; i += blockDim.x*gridDim.x),-,-,5310,2482,5310,17971712,575094784,541540352,704,672,-,-,-,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,96,3,0,0,0,12,375,0,0,0,0,298,279,333,0,0,3914,0,35,2,0,0,0,4,330,0,0,0,0,0,0,185,0,0,1926,"void dot_kernel<double>(const T1 *, const T1 *, T1 *, int)",191,0,stall_wait,0.0,0.01807909604519774,0.0005649717514124294,0.0,0.0,0.0,0.0022598870056497176,0.07062146892655367,0.0,0.0,0.0,0.0,0.05612052730696798,0.05254237288135593,0.06271186440677966,0.0,0.0,0.7370998116760829
256,tb_sum[local_i] = {};,-,-,174,86,174,481536,15409152,15409152,1056,1056,Shared,Store,64,0,2,0,29184,29184,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,26,2,9,0,0,105,0,0,0,0,0,0,0,31,0,0,0,0,0,0,4,0,0,51,"void dot_kernel<double>(const T1 *, const T1 *, T1 *, int)",191,0,stall_wait,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1839080459770115,0.0,0.0,0.0,0.0,0.14942528735632185,0.011494252873563218,0.05172413793103448,0.0,0.0,0.603448275862069
254,const size_t local_i = threadIdx.x;,-,-,63,31,63,131328,4202496,4202496,288,288,-,-,-,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,7,4,6,0,0,41,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,24,"void dot_kernel<double>(const T1 *, const T1 *, T1 *, int)",191,0,stall_wait,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07936507936507936,0.0,0.0,0.0,0.0,0.1111111111111111,0.06349206349206349,0.09523809523809523,0.0,0.0,0.6507936507936508
253,int i = blockDim.x * blockIdx.x + threadIdx.x;,-,-,48,21,48,131328,4202496,4202496,288,288,-,-,-,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,5,3,8,0,0,26,0,0,0,0,0,0,0,6,0,0,0,0,0,0,4,0,0,11,"void dot_kernel<double>(const T1 *, const T1 *, T1 *, int)",191,0,stall_wait,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.10416666666666667,0.0625,0.16666666666666666,0.0,0.0,0.5416666666666666
249,"__global__ void dot_kernel(const T * a, const T * b, T * sum, int array_size)",-,-,479,274,479,452352,14475264,14475264,992,992,-,-,-,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,54,0,28,96,9,100,0,0,121,0,0,0,0,0,0,0,61,0,49,0,28,0,0,75,0,0,61,"void dot_kernel<double>(const T1 *, const T1 *, T1 *, int)",191,0,stall_wait,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14822546972860126,0.0,0.1127348643006263,0.0,0.05845511482254697,0.20041753653444677,0.018789144050104383,0.20876826722338204,0.0,0.0,0.25260960334029225
170,},-,-,30065,21597,30065,4194304,134217728,134217728,128,128,-,-,-,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,472,1,269,0,0,0,0,25942,83,337,0,155,147,0,0,0,2659,0,400,0,235,0,0,0,0,18834,75,226,0,0,0,0,0,0,1827,"void copy_kernel<double>(const T1 *, T1 *)",192,0,stall_membar,0.0,0.015699318144021288,3.326126725428239e-05,0.008947280891401963,0.0,0.0,0.0,0.0,0.8628637951105937,0.002760685182105438,0.011209047064693166,0.0,0.0051554964244137705,0.004889406286379511,0.0,0.0,0.0,0.08844170962913687
169,c[i] = a[i];,-,-,21388,16368,21388,33554432,1073741824,1073741824,1024,1024,Global(2),"Load,Store",64(2),4194304,0,0,0,0,0,16777216,16777216,0,,0,0,0,0,0,0,0,0,1,0,0,0,13344,315,0,0,0,0,122,519,0,0,0,7087,0,0,1,0,0,0,11575,310,0,0,0,0,0,0,0,0,0,4482,"void copy_kernel<double>(const T1 *, T1 *)",192,0,stall_long_sb,0.0,0.0,4.67551898260707e-05,0.0,0.0,0.0,0.6239012530390874,0.01472788479521227,0.0,0.0,0.0,0.0,0.005704133158780625,0.02426594351973069,0.0,0.0,0.0,0.331354030297363
168,const int i = blockDim.x * blockIdx.x + threadIdx.x;,-,-,1749,986,1749,9437184,301989888,301989888,288,288,-,-,-,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,2,0,0,29,97,424,0,0,1169,0,0,0,0,0,0,0,24,0,2,0,0,0,0,262,0,0,698,"void copy_kernel<double>(const T1 *, T1 *)",192,0,stall_wait,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016009148084619784,0.0,0.0011435105774728416,0.0,0.0,0.016580903373356205,0.05546026300743282,0.24242424242424243,0.0,0.0,0.6683819325328759
166,"__global__ void copy_kernel(const T * a, T * c)",-,-,4509,2605,4509,18874368,603979776,603979776,576,576,-,-,-,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,257,0,44,0,90,222,149,1299,0,0,2448,0,0,0,0,0,0,0,243,0,39,0,79,0,0,846,0,0,1398,"void copy_kernel<double>(const T1 *, T1 *)",192,0,stall_wait,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.056997116877356396,0.0,0.009758261255267244,0.0,0.01996007984031936,0.049234863606121095,0.03304502106897316,0.2880904856952761,0.0,0.0,0.5429141716566867
187,},-,-,31259,22284,31259,4194304,134217728,134217728,128,128,-,-,-,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,475,0,308,0,0,1,0,27004,92,348,0,137,147,0,0,0,2747,0,407,0,268,0,0,1,0,19379,80,232,0,0,0,0,0,0,1917,"void mul_kernel<double>(T1 *, const T1 *)",193,0,stall_membar,0.0,0.015195623660385809,0.0,0.009853162289260692,0.0,0.0,3.199078665344381e-05,0.0,0.8638792027895966,0.0029431523721168305,0.011132793755398445,0.0,0.004382737771521802,0.00470264563805624,0.0,0.0,0.0,0.08787869093701015
186,b[i] = scalar * c[i];,-,-,22109,16435,22109,36700160,1174405120,1174405120,1120,1120,Global(2),"Load,Store",64(2),4194304,0,0,0,0,0,16777216,16777216,0,,0,0,0,0,0,0,0,0,0,0,0,0,13020,312,0,0,0,0,114,613,0,0,0,8050,0,0,0,0,0,0,11155,304,0,0,0,0,0,0,0,0,0,4976,"void mul_kernel<double>(T1 *, const T1 *)",193,0,stall_long_sb,0.0,0.0,0.0,0.0,0.0,0.0,0.5889004477814465,0.014111900131168302,0.0,0.0,0.0,0.0,0.005156271201773034,0.027726265321814644,0.0,0.0,0.0,0.36410511556379754
185,const int i = blockDim.x * blockIdx.x + threadIdx.x;,-,-,1496,851,1496,9437184,301989888,301989888,288,288,-,-,-,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,2,0,0,39,68,373,0,0,972,0,0,0,0,0,0,0,38,0,2,0,0,0,0,240,0,0,571,"void mul_kernel<double>(T1 *, const T1 *)",193,0,stall_wait,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02807486631016043,0.0,0.001336898395721925,0.0,0.0,0.02606951871657754,0.045454545454545456,0.24933155080213903,0.0,0.0,0.6497326203208557
182,"__global__ void mul_kernel(T * b, const T * c)",-,-,3878,2169,3878,18874368,603979776,603979776,576,576,-,-,-,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,74,0,71,229,143,1145,0,0,1916,0,0,0,0,0,0,0,274,0,64,0,60,0,0,703,0,0,1068,"void mul_kernel<double>(T1 *, const T1 *)",193,0,stall_wait,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07735946364105209,0.0,0.019082001031459517,0.0,0.018308406395048993,0.0590510572460031,0.0368746776689015,0.29525528623001546,0.0,0.0,0.49406910778751933
203,},-,-,16531,12565,16531,4194304,134217728,134217728,128,128,-,-,-,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,324,0,247,0,0,0,0,13902,49,207,0,86,81,0,0,0,1635,0,257,0,212,0,0,0,0,10761,41,133,0,0,0,0,0,0,1161,"void add_kernel<double>(const T1 *, const T1 *, T1 *)",194,0,stall_membar,0.0,0.01959954025769766,0.0,0.014941624826084327,0.0,0.0,0.0,0.0,0.8409654588349162,0.002964128001935757,0.012521928497973504,0.0,0.005202347105438268,0.004899885064424415,0.0,0.0,0.0,0.09890508741152985
202,c[i] = a[i] + b[i];,-,-,45685,34804,45685,51380224,1644167168,1644167168,1568,1568,Global(3),"Load(2),Store",64(3),6291456,0,0,0,0,0,25165824,25165824,0,,0,0,0,0,0,0,0,0,1,0,0,0,30509,958,0,0,0,0,577,896,0,0,0,12744,0,0,1,0,0,0,25786,919,0,0,0,0,0,0,0,0,0,8098,"void add_kernel<double>(const T1 *, const T1 *, T1 *)",194,0,stall_long_sb,0.0,0.0,2.188902265513845e-05,0.0,0.0,0.0,0.6678121921856189,0.020969683703622632,0.0,0.0,0.0,0.0,0.012629966072014885,0.01961256429900405,0.0,0.0,0.0,0.27895370471708436
201,const int i = blockDim.x * blockIdx.x + threadIdx.x;,-,-,3953,2014,3953,9437184,301989888,301989888,288,288,-,-,-,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,1,0,0,0,0,163,0,7,0,0,154,182,956,0,0,2490,0,0,0,0,0,0,0,148,0,5,0,0,0,0,544,0,0,1317,"void add_kernel<double>(const T1 *, const T1 *, T1 *)",194,0,stall_wait,0.0,0.0,0.00025297242600556537,0.0,0.0,0.0,0.0,0.04123450543890716,0.0,0.0017708069820389577,0.0,0.0,0.03895775360485707,0.0460409815330129,0.24184163926132052,0.0,0.0,0.6299013407538578
199,"__global__ void add_kernel(const T * a, const T * b, T * c)",-,-,12432,6745,12432,27262976,872415232,872415232,832,832,-,-,-,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,3,0,0,0,0,1143,0,66,0,106,910,487,2600,0,0,7117,0,0,3,0,0,0,0,1083,0,60,0,94,0,0,1631,0,0,3874,"void add_kernel<double>(const T1 *, const T1 *, T1 *)",194,0,stall_wait,0.0,0.0,0.00024131274131274132,0.0,0.0,0.0,0.0,0.09194015444015444,0.0,0.005308880308880309,0.0,0.008526383526383526,0.0731981981981982,0.03917310167310167,0.20913770913770913,0.0,0.0,0.5724742599742599
220,},-,-,17420,13184,17420,4194304,134217728,134217728,128,128,-,-,-,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,346,0,226,0,0,0,0,14716,27,188,0,72,79,0,0,0,1766,0,292,0,184,0,0,0,0,11247,24,144,0,0,0,0,0,0,1293,"void triad_kernel<double>(T1 *, const T1 *, const T1 *)",195,0,stall_membar,0.0,0.01986222732491389,0.0,0.012973593570608496,0.0,0.0,0.0,0.0,0.844776119402985,0.001549942594718714,0.01079219288174512,0.0,0.0041331802525832375,0.004535017221584386,0.0,0.0,0.0,0.10137772675086108
219,a[i] = b[i] + scalar * c[i];,-,-,46130,34660,46130,54525952,1744830464,1744830464,1664,1664,Global(3),"Load(2),Store",64(3),6291456,0,0,0,0,0,25165824,25165824,0,,0,0,0,0,0,0,0,0,1,0,0,0,30300,899,0,0,0,0,582,979,0,0,0,13369,0,0,0,0,0,0,25405,863,0,0,0,0,0,0,0,0,0,8392,"void triad_kernel<double>(T1 *, const T1 *, const T1 *)",195,0,stall_long_sb,0.0,0.0,2.1677866897897247e-05,0.0,0.0,0.0,0.6568393670062865,0.019488402341209625,0.0,0.0,0.0,0.0,0.012616518534576198,0.021222631693041404,0.0,0.0,0.0,0.2898114025579883
218,const int i = blockDim.x * blockIdx.x + threadIdx.x;,-,-,3938,1937,3938,9437184,301989888,301989888,288,288,-,-,-,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,157,0,0,0,0,149,196,953,0,0,2483,0,0,0,0,0,0,0,140,0,0,0,0,0,0,530,0,0,1267,"void triad_kernel<double>(T1 *, const T1 *, const T1 *)",195,0,stall_wait,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039867953275774505,0.0,0.0,0.0,0.0,0.03783646521076689,0.04977145759268664,0.24200101574403252,0.0,0.0,0.6305231081767395
215,"__global__ void triad_kernel(T * a, const T * b, const T * c)",-,-,11997,6310,11997,27262976,872415232,872415232,832,832,-,-,-,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,3,0,0,0,0,1109,0,60,0,86,987,479,2513,0,0,6760,0,0,3,0,0,0,0,1033,0,52,0,76,0,0,1590,0,0,3556,"void triad_kernel<double>(T1 *, const T1 *, const T1 *)",195,0,stall_wait,0.0,0.0,0.00025006251562890725,0.0,0.0,0.0,0.0,0.09243977661081937,0.0,0.005001250312578144,0.0,0.007168458781362007,0.08227056764191047,0.03992664832874886,0.20946903392514796,0.0,0.0,0.5634742018838043
271,},-,-,503,412,503,60192,1867776,1867776,124,124,-,-,-,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,8,0,1,0,0,0,0,426,1,1,1,0,5,0,0,0,60,0,6,0,1,0,0,0,0,359,1,1,0,0,0,0,0,0,44,"void dot_kernel<double>(const T1 *, const T1 *, T1 *, int)",196,0,stall_membar,0.0,0.015904572564612324,0.0,0.0019880715705765406,0.0,0.0,0.0,0.0,0.8469184890656064,0.0019880715705765406,0.0019880715705765406,0.0019880715705765406,0.0,0.009940357852882704,0.0,0.0,0.0,0.11928429423459244
270,sum[blockIdx.x] = tb_sum[local_i];,-,-,79,68,79,22344,22344,22344,49,49,"Global,Shared","Load,Store",64(2),456,1,0,456,456,0,456,456,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9,2,0,0,67,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,65,"void dot_kernel<double>(const T1 *, const T1 *, T1 *, int)",196,0,stall_wait,0.0,0.0,0.0,0.0,0.0,0.0,0.012658227848101266,0.0,0.0,0.0,0.0,0.0,0.0,0.11392405063291139,0.02531645569620253,0.0,0.0,0.8481012658227848
269,if (local_i == 0),-,-,37,14,37,58824,1868232,1867776,129,128,-,-,-,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,32,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,"void dot_kernel<double>(const T1 *, const T1 *, T1 *, int)",196,456,stall_wait,0.0,0.05405405405405406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02702702702702703,0.05405405405405406,0.0,0.0,0.0,0.8648648648648649
265,tb_sum[local_i] += tb_sum[local_i+offset];,-,-,430,191,430,1133160,32658720,32658720,1711,1711,Shared(3),"Load(2),Store",64(3),0,3,0,91656,91656,0,0,0,0,,0,0,0,0,0,0,0,7,0,0,0,0,14,16,0,0,0,0,4,22,20,0,0,347,0,2,0,0,0,0,7,13,0,0,0,0,0,0,9,0,0,160,"void dot_kernel<double>(const T1 *, const T1 *, T1 *, int)",196,0,stall_wait,0.0,0.01627906976744186,0.0,0.0,0.0,0.0,0.03255813953488372,0.037209302325581395,0.0,0.0,0.0,0.0,0.009302325581395349,0.05116279069767442,0.046511627906976744,0.0,0.0,0.8069767441860465
263,if (local_i < offset),-,-,3492,2591,3492,1621536,51830328,51363840,380,376,-,-,-,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,3007,0,0,0,0,0,0,36,0,10,0,0,16,30,0,0,0,393,2367,0,0,0,0,0,0,35,0,7,0,0,0,0,0,0,0,182,"void dot_kernel<double>(const T1 *, const T1 *, T1 *, int)",196,2280,stall_barrier,0.8611111111111112,0.0,0.0,0.0,0.0,0.0,0.0,0.010309278350515464,0.0,0.0028636884306987398,0.0,0.0,0.004581901489117984,0.00859106529209622,0.0,0.0,0.0,0.11254295532646048
262,__syncthreads();,-,-,35,18,35,145920,4669440,4669440,32,32,-,-,-,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,25,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,"void dot_kernel<double>(const T1 *, const T1 *, T1 *, int)",196,0,stall_wait,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08571428571428572,0.0,0.0,0.0,0.7142857142857143
260,for (int offset = blockDim.x / 2; offset > 0; offset /= 2),-,-,3014,1503,3014,9470208,303046656,298377216,3328,3298,-,-,-,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,81,9,0,0,0,0,97,0,91,0,0,31,157,44,0,0,2504,0,36,7,0,0,0,0,95,0,59,0,0,0,0,22,0,0,1284,"void dot_kernel<double>(const T1 *, const T1 *, T1 *, int)",196,0,stall_wait,0.0,0.02687458526874585,0.0029860650298606504,0.0,0.0,0.0,0.0,0.032183145321831454,0.0,0.030192435301924354,0.0,0.0,0.01028533510285335,0.05209024552090245,0.014598540145985401,0.0,0.0,0.8307896483078965
258,tb_sum[local_i] += a[i] * b[i];,-,-,43136,22345,43136,77594624,2483027968,2483027968,2368,2368,"Global(2),Shared(2)","Load(3),Store",64(4),4194304,4,0,4194304,4194304,0,16777216,16777216,0,,0,0,0,0,0,0,0,49,16,0,0,0,20507,2088,0,1,0,0,1617,1201,529,0,0,17128,0,25,12,0,0,0,11457,1866,0,1,0,0,0,0,262,0,0,8722,"void dot_kernel<double>(const T1 *, const T1 *, T1 *, int)",196,0,stall_long_sb,0.0,0.0011359421364985163,0.000370919881305638,0.0,0.0,0.0,0.47540337537091987,0.048405044510385756,0.0,2.3182492581602375e-05,0.0,0.0,0.037486090504451036,0.027842173590504452,0.012263538575667655,0.0,0.0,0.39706973293768544
257,for (; i < array_size; i += blockDim.x*gridDim.x),-,-,5424,2498,5424,17971712,575094784,541540352,704,672,-,-,-,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,101,5,0,0,0,12,350,0,0,0,0,310,309,353,0,0,3984,0,41,4,0,0,0,8,290,0,0,0,0,0,0,175,0,0,1980,"void dot_kernel<double>(const T1 *, const T1 *, T1 *, int)",196,0,stall_wait,0.0,0.01862094395280236,0.0009218289085545723,0.0,0.0,0.0,0.0022123893805309734,0.06452802359882005,0.0,0.0,0.0,0.0,0.05715339233038348,0.056969026548672565,0.0650811209439528,0.0,0.0,0.7345132743362832
256,tb_sum[local_i] = {};,-,-,189,81,189,481536,15409152,15409152,1056,1056,Shared,Store,64,0,2,0,29184,29184,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,30,13,9,0,0,110,0,0,0,0,0,0,0,26,0,0,0,0,0,0,5,0,0,50,"void dot_kernel<double>(const T1 *, const T1 *, T1 *, int)",196,0,stall_wait,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.15873015873015872,0.06878306878306878,0.047619047619047616,0.0,0.0,0.582010582010582
254,const size_t local_i = threadIdx.x;,-,-,63,31,63,131328,4202496,4202496,288,288,-,-,-,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,6,2,2,0,0,44,0,0,0,0,0,0,0,9,0,0,0,0,0,0,1,0,0,21,"void dot_kernel<double>(const T1 *, const T1 *, T1 *, int)",196,0,stall_wait,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.09523809523809523,0.031746031746031744,0.031746031746031744,0.0,0.0,0.6984126984126984
